Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
0009 - Byte              20C3A049 : 0                  20BFCC49 : 0                  
000A - Byte              20C3A04A : 0                  20BFCC4A : 0                  
000B - Byte              20C3A04B : 0                  20BFCC4B : 0                  
000C - 4 Bytes           20C3A04C : 0                  20BFCC4C : 0                  
0010 - Float             20C3A050 : 0.3966136873       20BFCC50 : 0.4126041532       
0014 - Double            20C3A054 : 0.641954064259251  20BFCC54 : 0.316420853028451  
001C - Double            20C3A05C : 952.31982421875    20BFCC5C : 768                
0024 - Double            20C3A064 : 0.440000116518699  20BFCC64 : 0.560000061388128  
002C - 4 Bytes           20C3A06C : 0                  20BFCC6C : 0                  
0030 - Pointer           20C3A070 : P->3E10B7B3        20BFCC70 : P->3E8400ED        
0034 - Pointer           20C3A074 : P->3E9F6E70        20BFCC74 : P->3EA661AE        
0038 - 4 Bytes           20C3A078 : 0                  20BFCC78 : 0                  
003C - Double            20C3A07C : -3.31999969482422  20BFCC7C : -2.60000038146973  
0044 - Double            20C3A084 : -0.001718750223517420BFCC84 : -0.00218749977648258
004C - Double            20C3A08C : 3.31999969482422   20BFCC8C : 2.60000038146973   
0054 - Double            20C3A094 : 0.0017187504551511720BFCC94 : 0.00218750023979737
005C - Double            20C3A09C : -0.0078125         20BFCC9C : -0.0078125         
0064 - Pointer           20C3A0A4 : P->3DB9D7FA        20BFCCA4 : P->00000000        
0068 - Double            20C3A0A8 : 0.0078125          20BFCCA8 : 0.0078125          
0070 - Float             20C3A0B0 : 1                  20BFCCB0 : 1                  
0074 - Float             20C3A0B4 : 1                  20BFCCB4 : 1                  
0078 - 4 Bytes           20C3A0B8 : 0                  20BFCCB8 : 0                  
007C - 4 Bytes           20C3A0BC : 0                  20BFCCBC : 0                  
0080 - 4 Bytes           20C3A0C0 : 0                  20BFCCC0 : 0                  
0084 - 4 Bytes           20C3A0C4 : 0                  20BFCCC4 : 0                  
0088 - 4 Bytes           20C3A0C8 : 0                  20BFCCC8 : 1056964608         
008C - 4 Bytes           20C3A0CC : 0                  20BFCCCC : 0                  
0090 - 4 Bytes           20C3A0D0 : 0                  20BFCCD0 : 1119223808         
0094 - Pointer           20C3A0D4 : P->3D810625        20BFCCD4 : P->3D872B02        
0098 - Pointer           20C3A0D8 : P->3DCCCCCD        20BFCCD8 : P->3DCCCCCD        
009C - Float             20C3A0DC : -0.200000003       20BFCCDC : -0.200000003       
00A0 - Float             20C3A0E0 : -1.666666627       20BFCCE0 : -1.666666627       
00A4 - Pointer           20C3A0E4 : P->3E229CE8        20BFCCE4 : P->BDC0B5FE        
00A8 - Double            20C3A0E8 : 0.0078125          20BFCCE8 : 0.0078125          
00B0 - Float             20C3A0F0 : 1                  20BFCCF0 : 1                  
00B4 - Float             20C3A0F4 : 1                  20BFCCF4 : 1                  
00B8 - 4 Bytes           20C3A0F8 : 0                  20BFCCF8 : 0                  
00BC - 4 Bytes           20C3A0FC : 0                  20BFCCFC : 0                  
00C0 - 4 Bytes           20C3A100 : 0                  20BFCD00 : 0                  
00C4 - Double            20C3A104 : 0.125              20BFCD04 : 0                  
00CC - 4 Bytes           20C3A10C : 1065353216         20BFCD0C : 0                  
00D0 - Float             20C3A110 : 71                 20BFCD10 : 0                  
00D4 - Pointer           20C3A114 : P->3D810625        20BFCD14 : P->3D872B02        
00D8 - Pointer           20C3A118 : P->3DA3D70A        20BFCD18 : P->3DA3D70A        
00DC - Float             20C3A11C : -0.1599999964      20BFCD1C : -0.1599999964      
00E0 - Pointer           20C3A120 : P->40E283E4        20BFCD20 : P->40C5FBA7        
00E4 - Pointer           20C3A124 : P->3DCCCCCD        20BFCD24 : P->3DCCCCCD        
